Gene name,Uniprot ID,human PPIs,sum human PPIs,sum human dmis,dN/dS,surface residues (%),disordered residues (%),unmasked disorder residues (%),contact order,temporal class,structural function,picnic score,condensate
UL4,Q6SWC6,"['P50591', 'O76061', 'Q14517', 'Q9UK22', 'Q8NE01', 'Q9H936', 'O95396']",7,,,62.32876712,19.46308725,19.463,39.92101106,DE,envelope,,
UL6,Q6SWC4,"['Q6ZMC9', 'P00734', 'Q15828', 'Q9BXP2', 'Q96JQ0', 'O75367', 'Q9HCE1', 'O00391', 'P18077', 'P12036']",10,,0.29,82.03125,35.0,35.0,35.73795181,no_meta_info,no_meta_info,0.018539965,not condensate
UL8,A0A1P7U1I1,"['Q92508', 'P17301', 'Q2LD37', 'Q6SWC2', 'Q7Z6E9', 'Q10570', 'Q03252', 'P06756', 'Q9BUQ8', 'P20700', 'P24821', 'P23634', 'Q9P1T7', 'Q8N7H5', 'Q12893', 'Q9BQE9', 'P35222', 'O60832', 'P56199', 'P32004', 'Q96NB3', 'Q9UK22', 'Q7Z3C6', 'O75746', 'Q8WXI9', 'O43390', 'P52948', 'Q8NCG7', 'P0C7P4', 'O95208', 'Q16832', 'P10301', 'O14786', 'O00186', 'P11117', 'Q9NUQ9', 'O60341', 'O15162', 'Q9Y3C6', 'Q9Y5L0', 'O15126', 'P19634', 'Q9H074', 'Q14344', 'Q00653', 'P09382', 'Q9NQS3', 'Q6EMK4', 'Q08722', 'Q9HCC0', 'Q9UHB7', 'Q8TCZ2', 'Q14766', 'O95785', 'Q03135', 'O75489', 'Q9BWM7', 'Q9UKX7', 'P00533', 'Q92544', 'P98194', 'P78406', 'P19022']",63,,,86.2295082,47.22222222,47.222,50.30345912,no_meta_info,no_meta_info,,
UL9,F5H9T4,"['Q14690', 'Q9H6R4', 'Q8WTT2', 'P51608', 'Q9NXF1', 'Q15646', 'Q13112', 'Q9H160', 'O60264', 'P85037', 'O94880', 'Q5JTH9', 'Q14684', 'Q9UIG0', 'Q9Y4B5', 'O75530', 'Q01780', 'P82930', 'Q8N655', 'Q8WYP5', 'Q9H4M7', 'Q02388', 'Q9NUQ6', 'Q9Y5B6', 'Q96SY0', 'Q9HCE1', 'Q9H9F9', 'Q9Y5W8', 'P11388', 'Q8IXQ6', 'P46013', 'Q9BYK8', 'Q15022', 'Q8N201', 'Q6ZSJ8', 'Q03468', 'Q9NNW5', 'Q9BQG0', 'Q86YP4', 'P08579', 'Q2NL82', 'Q02880', 'Q8TER5', 'Q9BVP2', 'Q96KR1', 'Q8IY67', 'Q9UPU5', 'Q6NSI3', 'Q9H307', 'O95671', 'Q13136', 'P00736', 'Q460N5', 'Q2TAC2', 'O76021', 'Q15003', 'Q96JG6', 'Q9BQ39', 'Q15021', 'P55265', 'Q9UPU9', 'Q9H4M7', 'Q9UGU0']",63,2.0,,78.02690583,26.18025751,26.18,35.25077399,no_meta_info,no_meta_info,,
UL20,F5H9Z4,"['P07948', 'P10586', 'O75354', 'Q9BUJ0', 'P41273', 'O43556', 'A8MVW0', 'P11362', 'Q13332', 'Q5T7M9', 'Q9H813', 'Q8WVN6', 'P23458', 'P37173', 'Q969H0', 'Q8WUY1', 'Q8WUA8', 'Q9Y519', 'Q03001', 'P29992', 'P51809', 'O43286', 'Q9UN66', 'Q9NRU3', 'Q69YZ2', 'P07947', 'Q9NYQ7', 'Q643R3', 'P36897', 'P55899', 'Q02338', 'P98173', 'O43567', 'P58335', 'Q15645', 'Q8NC42', 'Q16739', 'Q5T160', 'Q8NE01', 'Q8TED1', 'P55011', 'P51617', 'Q99650', 'Q15012', 'O60507', 'Q9BVX2', 'Q01628', 'Q9BXP2', 'Q02241', 'Q9Y5F6', 'Q9UN70', 'Q9NP58', 'Q9Y3R5', 'P16234', 'Q53EP0', 'Q6NXE6', 'Q9BXS4', 'P08581', 'Q9GZT4', 'Q6ZMZ3', 'Q16832', 'O43301', 'Q4LDE5', 'Q9Y6N7', 'Q9Y6M7', 'Q5T011', 'Q8TB96', 'Q9Y5W8', 'Q14517', 'Q9Y5B6', 'Q96RD7', 'P26572', 'P45954', 'P19438', 'Q8TER5', 'Q9Y287', 'P15291', 'O15031', 'Q8IWB1', 'Q9H8M5', 'P48740', 'Q6ZVM7', 'P40189', 'Q6DN90', 'Q9Y5S1', 'Q9UI26', 'P18074', 'P11172', 'Q8N2K0', 'P21589', 'Q96PU5', 'Q86YP4', 'O43683', 'P11388', 'Q8IZ07', 'P0C1Z6', 'Q9H936', 'P13747', 'P46013', 'Q5XKP0', 'Q13330', 'O95671', 'Q9NUM4', 'O75600', 'Q7Z4F1', 'P22413', 'P15260', 'Q68CQ7', 'Q9BQG0', 'Q15021', 'Q9NRD1', 'O00165', 'P42356', 'P05067', 'O15230', 'P52735', 'Q15648', 'Q9BTU6', 'Q04721', 'P29317', 'Q7L5D6', 'P46379', 'P11441', 'P48723', 'Q9UIW2', 'B2RTY4', 'Q9UKM7', 'Q86V15', 'P09619', 'O75976', 'Q9NQX7']",131,7.0,0.271,69.49685535,39.64497041,40.0,50.50605536,no_meta_info,no_meta_info,0.037636917,not condensate
UL22A,F5HF90,"['Q9H5Z1', 'Q9BPX6', 'Q8NI35', 'Q9Y692', 'Q8TBG4', 'P19784', 'Q12789', 'Q13330', 'P82650', 'P51398', 'Q9H0X9', 'Q9H9Q2', 'Q14BN4', 'Q9BRR8']",14,1.0,,98.98989899,40.95238095,40.952,17.67460317,L,envelope,,
UL26,F5HGG3,"['Q15418', 'O43639', 'P51812', 'Q9HAU4', 'Q15349', 'Q9H871', 'P14373', 'Q8IVV7', 'Q14254', 'AY446894', 'Q8IUH3', 'Q7L5Y9', 'Q09472', 'Q9UET6', 'O14530', 'Q92793', 'Q8IUH3', 'Q9UL63', 'Q92743', 'Q9NWU2', 'O75955', 'Q9H2J4', 'Q9NNW5', 'P62699', 'Q9H7D7', 'Q9C0J8', 'Q9P2I0', 'P82650', 'Q8NFH4', 'Q6VN20', 'O00560', 'Q96DV4', 'O96008', 'Q8IUR7', 'P62993', 'Q13618', 'Q9GZT8', 'Q01433', 'Q9UKF6', 'O95487', 'O95486', 'Q15437', 'Q15436', 'Q96S59', 'Q10570']",45,5.0,0.137,65.07177033,25.67567568,25.676,35.60551559,DE,tegument,0.232756249,not condensate
UL27,Q6SWA4,"['Q13564', 'O95372', 'O43148', 'Q9GZU8', 'O00148', 'Q92530', 'Q13325', 'Q13907', 'Q3KQV9', 'Q9NTX5', 'Q5TFE4', 'P52789', 'Q9H4A4', 'O75439', 'Q6YN16', 'P61289', 'Q9H3K6', 'O43402', 'O95352', 'P32455', 'Q92793', 'O95071', 'P11498', 'Q16531', 'P28072', 'P28070', 'O43809', 'P13667', 'P31942', 'P28072', 'P53396', 'Q9Y265', 'P62826', 'P62333', 'O96019', 'Q9Y230', 'P43686', 'Q16531', 'Q9BTV4', 'O43242', 'Q13200', 'P62820', 'Q92993', 'O95071', 'Q96L91', 'Q96AY3', 'Q9Y4A5', 'P61289', 'P40763', 'Q9H7D7', 'P16152', 'P25788']",52,,0.0972,52.50431779,11.67763158,11.678,132.2094834,no_meta_info,no_meta_info,0.362028213,not condensate
UL29,Q6SWA3,"['Q9BTC8', 'Q13227', 'Q13330', 'P04637', 'Q9UBB5', 'O15379', 'O75376', 'O14519', 'Q9UPU5', 'Q86YP4', 'Q13330', 'O60907', 'Q9Y618', 'Q12873', 'Q9NWU2', 'Q14839', 'O95983', 'Q9NNW5', 'O94776', 'Q8WXI9', 'Q8TDI0', 'Q9BZK7', 'Q16576', 'Q13547']",24,2.0,0.0936,49.0797546,10.28571429,10.286,50.0151174,L,tegument,0.116243145,not condensate
UL33,Q6SW98,"['Q96JG6', 'Q13098', 'Q9NRY5', 'P99999', 'Q0IIM8', 'Q32P28', 'Q9H444', 'Q9Y2D4', 'Q8WVV4', 'Q6NZ67', 'O76031', 'P42357', 'P61289']",13,,0.0991,57.98969072,15.77669903,15.777,72.74602164,no_meta_info,no_meta_info,0.039946922,not condensate
UL40,Q6SW92,"['Q9H173', 'P05452', 'Q8IUX7', 'Q9NYU1', 'O75787', 'Q86Y39', 'Q9Y512', 'Q96JB6', 'P51798', 'Q9Y6C9', 'P56589', 'Q15070', 'P32189', 'O14730', 'Q02338', 'P20340', 'Q96TC7', 'O00442', 'O14657', 'P16885', 'Q8NE01', 'Q9P2E5', 'Q13637', 'Q9H0U3', 'Q9H078', 'Q6PKC3', 'O14966', 'O15031', 'P45954', 'P84085', 'Q9UJ14', 'Q8N6R0', 'Q6XQN6', 'P67812', 'Q99653', 'Q9H936', 'Q8TB96', 'P61009', 'P13747', 'P50750', 'P48651', 'Q9BXS4', 'Q8IXI2', 'Q6NUK1', 'Q05086', 'Q9NPF4', 'Q9H8M5', 'Q96TA2', 'Q9NUJ3', 'Q9Y4K0', 'P49768', 'P08253', 'O00165', 'Q8NE86', 'Q8WVX9', 'P41221', 'Q96HS1', 'Q969H8', 'O95865', 'P98160']",60,2.0,,85.78431373,79.18552036,79.186,35.32608696,LL,non-structural,,
