viral_uniprot,prot_name,motif_name,Human HSV2,Human HSV1,Chimp HSV1,Macacque HSV1,Baboon HSV2,Grivet HSV2,squirrel monkey HSV1
P04288,UL10,LIG_SH2_CRK,1,1,1,1,1,1,1
P04288,UL10,LIG_SH2_NCK_1,1,1,1,1,1,1,1
P04288,UL10,LIG_SH2_SRC,1,1,1,1,1,1,1
P04288,UL10,LIG_SH2_STAP1,1,1,1,1,1,1,1
P04288,UL10,LIG_SH2_STAT3,1,1,1,1,1,1,1
P04288,UL10,LIG_SH3_1,0,1,0,0,0,0,0
P04288,UL10,LIG_SH3_3,1,1,1,1,1,1,1
P04288,UL10,LIG_TYR_ITIM,0,1,0,1,1,1,1
P04296,UL29,DOC_USP7_MATH_1,1,1,1,1,1,1,1
P04413,US3,LIG_PTB_Apo_2,0,1,0,0,0,0,0
P06477,UL22,MOD_CK2_1,1,1,1,1,1,1,1
P06477,UL22,MOD_GSK3_1,1,1,1,1,1,1,1
P06477,UL22,MOD_PKA_2,1,1,1,1,1,1,1
P10186,UL2,LIG_CtBP_PxDLS_1,1,1,1,1,1,1,1
P10204,UL20,MOD_CK1_1,1,1,1,1,1,1,1
P10204,UL20,MOD_GSK3_1,1,1,1,1,1,1,1
P10204,UL20,MOD_NEK2_1,1,1,1,1,1,1,1
P10221,UL37,MOD_CDK_SPK_2,1,1,1,1,1,1,0
P10221,UL37,MOD_CK2_1,1,1,1,1,1,1,1
P10221,UL37,MOD_NEK2_1,1,1,1,1,1,1,1
P10221,UL37,MOD_PKA_2,1,1,1,1,1,1,1
P10221,UL37,MOD_Plk_1,1,1,1,1,1,1,1
P10221,UL37,MOD_ProDKin_1,1,1,1,1,1,1,1
P10230,UL46,LIG_14-3-3_CanoR_1,1,1,1,1,1,1,1
P10230,UL46,LIG_14-3-3_CterR_2,1,1,1,1,1,0,0
P10233,UL49,DOC_WW_Pin1_4,1,1,1,1,1,1,1
P10233,UL49,LIG_SH3_2,0,1,0,0,1,0,0
P10233,UL49,TRG_ER_diArg_1,1,1,1,1,1,1,1
P10238,UL54,MOD_CDK_SPK_2,1,1,1,1,0,1,1
P10238,UL54,MOD_CK1_1,1,1,1,1,1,1,1
P10238,UL54,MOD_CK2_1,1,1,1,1,1,1,1
P10238,UL54,MOD_GSK3_1,1,1,1,1,1,1,1
P10238,UL54,MOD_PKA_1,1,1,1,1,1,1,1
P10238,UL54,MOD_PKA_2,1,1,1,1,1,1,1
P10238,UL54,MOD_Plk_4,1,1,1,1,1,1,1
P10238,UL54,MOD_ProDKin_1,1,1,1,1,1,1,1
P10240,UL56,DOC_WW_Pin1_4,1,1,1,1,1,1,1
P10240,UL56,MOD_CK2_1,1,1,1,1,1,1,1
P10240,UL56,MOD_GSK3_1,1,1,1,1,1,1,1
P10240,UL56,MOD_PKA_2,1,1,1,1,1,1,1
P10240,UL56,MOD_Plk_4,1,1,1,1,1,1,1
P10240,UL56,MOD_ProDKin_1,1,1,1,1,1,1,1
P06492,UL48,LIG_HCF-1_HBM_1,1,1,1,1,1,1,1
P04296,UL29,LIG_G3BP_FGDF_1,1,1,1,0,0,0,0
P10230,UL46,LIG_SH2_GRB2like,1,1,1,1,1,1,1
P10221,UL37,LIG_TRAF6_MATH_1,1,1,1,1,1,1,1
